Building ID,yield drift,yield force,peak drift,peak force,2% drift,2% force,2% area,fitted initial stiffness,fitted hardening stiffness,fitted hardening ratio
135,0.009273104,0.300393681,0.0182869,0.314189495,0.0200002,0.314027475,0.004724686,32.16591288,1.964965823,0.061088452
138,0.010925442,0.356867475,0.0267133,0.365636719,0.02,0.364813624,0.005239204,32.38176376,0.732918501,0.022633681
141,0.009736605,0.251353326,0.0221562,0.255873298,0.02,0.255638519,0.003834177,25.72070364,0.463824983,0.018033137
144,0.009078312,0.280608276,0.0200466,0.294117908,0.02,0.294110065,0.004443645,30.66849338,1.592734044,0.051933886
147,0.008937044,0.29380405,0.0182517,0.301951312,0.02,0.301610667,0.004638519,32.54808619,1.112173433,0.034170164
150,0.008898033,0.259652224,0.0180536,0.265697267,0.02,0.265127765,0.004096713,28.88486369,0.855352172,0.02961247
153,0.007653936,0.248940793,0.0159908,0.259781643,0.0200001,0.258242512,0.004131955,32.15796447,1.657420801,0.051539979
156,0.008774124,0.282700984,0.0213869,0.291162693,0.02,0.291103842,0.004482313,31.91464565,0.860006455,0.026947078
159,0.008653908,0.257000067,0.0180769,0.264542142,0.02,0.264233834,0.004095954,29.42982258,0.984080391,0.033438203
162,0.009991856,0.373953059,0.0232519,0.391953535,0.0200001,0.390528081,0.005700801,37.37105716,1.687703772,0.045160718
165,0.01039856,0.32042573,0.0200816,0.334409969,0.02,0.334403988,0.004829178,30.77683414,1.828312648,0.059405481
168,0.010218728,0.374393382,0.0249184,0.388906667,0.02,0.386630547,0.005641316,36.54019518,1.177281725,0.032218813
171,0.008758163,0.352816806,0.0224709,0.366227974,0.0200001,0.36592183,0.005598888,40.18098698,1.282840672,0.03192656
174,0.009847931,0.270233608,0.0168298,0.284296487,0.02,0.283718652,0.004185353,27.33873667,2.566731663,0.093886257
177,0.009718173,0.300214276,0.0222378,0.308124036,0.02,0.30782304,0.004594734,30.82457332,0.808585416,0.026231845
180,0.009201477,0.333844461,0.019056,0.357876329,0.02,0.357617585,0.005317221,36.09721867,3.002438704,0.083176456
183,0.009144821,0.28474865,0.0191608,0.29794855,0.02,0.29760578,0.004488965,31.07213508,1.640123936,0.052784398
186,0.009459289,0.307758448,0.0246154,0.316288288,0.02,0.315546747,0.004749803,32.43863305,0.727340053,0.022422032
189,0.010219398,0.375407346,0.0171475,0.405410141,0.0200001,0.396661818,0.005781815,36.62320389,4.877623057,0.133183953
192,0.010815767,0.373867149,0.0180235,0.402333707,0.02,0.396595639,0.005632156,34.43162791,4.542848007,0.131938229
195,0.010137884,0.344356673,0.0151923,0.372833891,0.02,0.371986737,0.0053709,33.78518674,6.642834153,0.196619726
198,0.009557636,0.331802781,0.0191988,0.361767582,0.0200001,0.35972915,0.005254222,34.44042105,3.692908201,0.107225989
201,0.009451893,0.365947149,0.0184295,0.397078022,0.02,0.397019986,0.005815555,38.45948381,4.111163153,0.106895952
204,0.009677049,0.290070885,0.0184295,0.317855837,0.02,0.313267739,0.0045935,29.8042479,3.851969461,0.129242297
207,0.008191025,0.308266158,0.0150107,0.340142609,0.02,0.326345894,0.005168512,37.41632469,5.736336567,0.153311064
210,0.009095573,0.346724498,0.0202457,0.366622967,0.02,0.366543273,0.005512726,37.66630881,2.269510866,0.060253073
213,0.009953847,0.313070613,0.0210897,0.326458458,0.02,0.326374535,0.004805167,31.09985657,1.595695686,0.05130878
216,0.010627998,0.419927832,0.0171049,0.445666424,0.0200002,0.436701818,0.006324852,39.46698182,4.68373121,0.118674674
219,0.011541985,0.384581896,0.0192308,0.410972378,0.02,0.408720748,0.005611921,33.26820166,3.949470002,0.118716065
222,0.011173151,0.419104103,0.0172436,0.449814744,0.02,0.442017637,0.006226737,37.44308224,5.856956401,0.156422924
225,0.009527709,0.389821055,0.0149894,0.415624837,0.0200001,0.401414641,0.006116091,40.83273499,5.592229357,0.136954563
228,0.010894652,0.338402859,0.0173507,0.360202323,0.0200003,0.352420473,0.005054884,31.00357299,3.978314184,0.128317926
231,0.010541683,0.368505601,0.0155556,0.392375172,0.02,0.379850421,0.005582297,34.88061308,5.718509251,0.163945205
234,0.008882569,0.384252688,0.0155663,0.428410435,0.02,0.416551111,0.006332571,42.99355277,7.78805059,0.181144616
237,0.010223095,0.314308636,0.0149254,0.332734844,0.0200002,0.317950914,0.004788571,30.68850769,4.81157275,0.156787446
240,0.009983325,0.392156882,0.0161752,0.425983103,0.02,0.425338458,0.006152446,39.08946873,6.724957508,0.172040136
243,0.012115654,0.386180861,0.0233213,0.399056485,0.0200008,0.398564646,0.005458645,31.55505624,1.554488684,0.049262745
246,0.012702214,0.39072597,0.0241026,0.421813499,0.02,0.41617163,0.005465546,30.28413409,3.247801467,0.107244323
249,0.010366528,0.330985025,0.019,0.361223111,0.02,0.360869192,0.005090808,31.78572647,3.996285117,0.125725776
252,0.010853382,0.39253098,0.0228723,0.411681046,0.0200005,0.411403739,0.005840989,35.75076127,2.155511408,0.060292742
255,0.013030949,0.383016172,0.023141,0.398472487,0.02,0.396609904,0.005257689,28.89406269,1.883628551,0.065190852
258,0.01185534,0.34193391,0.0216538,0.368949047,0.02,0.367070181,0.004952929,28.49187944,3.322148237,0.116599828
261,0.010148135,0.362696522,0.0228466,0.377877874,0.0200004,0.377558068,0.00553559,35.03095688,1.648901034,0.047069826
264,0.01065099,0.328425707,0.0232692,0.34202728,0.02,0.341773662,0.00492084,30.30252699,1.446747243,0.047743452
267,0.009763122,0.335055216,0.0202051,0.370436581,0.02,0.370187147,0.005304283,33.87316236,4.122787446,0.121712505
270,0.013319505,0.497968321,0.0187828,0.534899919,0.0200007,0.534630424,0.006823215,37.20612891,8.432552161,0.226644169
273,0.012882751,0.413372125,0.0173077,0.42763401,0.02,0.425428868,0.005690869,31.9900145,4.267364808,0.133396776
276,0.011293481,0.339879717,0.0195641,0.372854377,0.02,0.372819414,0.005089149,29.78045742,5.150436475,0.172946856
279,0.011394635,0.40852309,0.026667,0.421744575,0.0200004,0.417342484,0.005889884,35.63276543,0.957564638,0.02687315
282,0.012844393,0.387032177,0.0245641,0.404382509,0.02,0.401790325,0.005345745,29.70263621,1.882016844,0.063361946
285,0.012570239,0.459191985,0.0257179,0.467265594,0.02,0.46548802,0.00633183,36.39816769,0.750846302,0.020628684
288,0.012243334,0.429177003,0.0289105,0.444312657,0.0200002,0.441531787,0.006040776,34.35762383,1.176967324,0.034256366
291,0.010537428,0.353230285,0.0244872,0.384772239,0.02,0.381692567,0.005374232,33.07130085,2.882928699,0.087173127
294,0.010384474,0.329818659,0.0170897,0.385874386,0.02,0.385164797,0.005278153,31.54305085,9.801007634,0.310718443
297,0.011320729,0.319624894,0.0209912,0.32843798,0.0200005,0.328360485,0.004634216,28.11830397,1.193276171,0.042437701
300,0.01328483,0.336915129,0.0288462,0.351134372,0.02,0.34852486,0.00454924,25.11429591,1.204627914,0.047965825
303,0.011745845,0.313324339,0.0206294,0.321604233,0.02,0.321541305,0.004484115,26.45300627,1.205998512,0.045590225
306,0.010128099,0.302854313,0.0254429,0.31602902,0.02,0.314801046,0.00458931,29.79282221,1.10650964,0.037140142
309,0.010285865,0.279524323,0.0242541,0.299679197,0.02,0.298374194,0.004260988,26.91534313,1.822641512,0.067717566
312,0.011089984,0.258518932,0.029359,0.287085364,0.02,0.27654212,0.003843103,22.76911486,1.772828532,0.077861109
315,0.009470038,0.24908913,0.0266085,0.276288116,0.0200001,0.269822609,0.003931928,25.78358657,1.849067965,0.071714925
318,0.009783279,0.266898157,0.02162,0.281937515,0.02,0.281482824,0.004132302,27.00952874,1.583618093,0.05863183
321,0.010184818,0.292496475,0.0262238,0.306587548,0.02,0.304666907,0.004432436,28.46028331,1.113697164,0.039131626
324,0.012315336,0.361162441,0.0283338,0.376506667,0.0200005,0.374572121,0.005040291,29.25595592,1.253810642,0.042856595
327,0.011688969,0.339264524,0.0200583,0.364134746,0.02,0.364084569,0.004927336,28.98291571,3.525002043,0.121623445
330,0.012278234,0.324411909,0.0276107,0.338749912,0.02,0.33686575,0.004547826,26.27003315,1.214868412,0.046245408
333,0.010623083,0.322245537,0.0256297,0.34051085,0.0200003,0.336345621,0.004811949,30.04430494,1.407737363,0.046855381
336,0.01149003,0.292784092,0.0261538,0.306825634,0.02,0.303739412,0.00422319,25.41679245,1.150959469,0.045283427
339,0.011147331,0.290046999,0.0241259,0.300893997,0.02,0.298950294,0.004228354,25.97458417,0.976471834,0.037593358
342,0.011339785,0.322375357,0.0242426,0.34438029,0.0200002,0.343165411,0.00471959,28.2500266,2.200021991,0.077876811
345,0.00991461,0.326089891,0.0246387,0.34674566,0.02,0.34355179,0.00500436,32.77449347,1.687210143,0.051479366
348,0.011010108,0.294389868,0.0272727,0.305254535,0.02,0.30339011,0.004315785,26.57219842,0.848502456,0.031931963
351,0.011118143,0.364046399,0.0194234,0.397405657,0.0200003,0.395610101,0.005438028,32.65626128,4.661961917,0.142758593
354,0.01203677,0.363005794,0.019797,0.396596968,0.02,0.395947664,0.005239689,30.08592413,5.056274163,0.168061122
357,0.011906252,0.34266913,0.0190705,0.36399097,0.02,0.363877249,0.004951707,28.51608712,3.883581563,0.136189146
360,0.010017582,0.327204002,0.0199786,0.356298039,0.02,0.356289935,0.005102004,32.47732982,3.766314149,0.115967482
