building ID,number of story,bay width,story height ratio,number of bay,floor dead load,roof dead load,column beam ratio
626,9,20,1.5,3,50,67.5,2
627,9,20,1.5,3,50,115,1
628,9,20,1.5,3,50,115,1.5
629,9,20,1.5,3,50,115,2
630,9,20,1.5,3,80,20,1
631,9,20,1.5,3,80,20,1.5
632,9,20,1.5,3,80,20,2
633,9,20,1.5,3,80,67.5,1
634,9,20,1.5,3,80,67.5,1.5
635,9,20,1.5,3,80,67.5,2
636,9,20,1.5,3,80,115,1
637,9,20,1.5,3,80,115,1.5
638,9,20,1.5,3,80,115,2
639,9,20,1.5,3,110,20,1
640,9,20,1.5,3,110,20,1.5
641,9,20,1.5,3,110,20,2
642,9,20,1.5,3,110,67.5,1
643,9,20,1.5,3,110,67.5,1.5
644,9,20,1.5,3,110,67.5,2
645,9,20,1.5,3,110,115,1
646,9,20,1.5,3,110,115,1.5
647,9,20,1.5,3,110,115,2
648,9,20,1.5,5,50,20,1
649,9,20,1.5,5,50,20,1.5
650,9,20,1.5,5,50,20,2
651,9,20,1.5,5,50,67.5,1
652,9,20,1.5,5,50,67.5,1.5
653,9,20,1.5,5,50,67.5,2
654,9,20,1.5,5,50,115,1
655,9,20,1.5,5,50,115,1.5
656,9,20,1.5,5,50,115,2
657,9,20,1.5,5,80,20,1
658,9,20,1.5,5,80,20,1.5
659,9,20,1.5,5,80,20,2
660,9,20,1.5,5,80,67.5,1
661,9,20,1.5,5,80,67.5,1.5
662,9,20,1.5,5,80,67.5,2
663,9,20,1.5,5,80,115,1
664,9,20,1.5,5,80,115,1.5
665,9,20,1.5,5,80,115,2
666,9,20,1.5,5,110,20,1
667,9,20,1.5,5,110,20,1.5
668,9,20,1.5,5,110,20,2
669,9,20,1.5,5,110,67.5,1
670,9,20,1.5,5,110,67.5,1.5
671,9,20,1.5,5,110,67.5,2
672,9,20,1.5,5,110,115,1
673,9,20,1.5,5,110,115,1.5
674,9,20,1.5,5,110,115,2
675,9,20,2,3,50,20,1
676,9,20,2,3,50,20,1.5
677,9,20,2,3,50,20,2
678,9,20,2,3,50,67.5,1
679,9,20,2,3,50,67.5,1.5
680,9,20,2,3,50,67.5,2
681,9,20,2,3,50,115,1
682,9,20,2,3,50,115,1.5
683,9,20,2,3,50,115,2
684,9,20,2,3,80,20,1
685,9,20,2,3,80,20,1.5
686,9,20,2,3,80,20,2
687,9,20,2,3,80,67.5,1
688,9,20,2,3,80,67.5,1.5
689,9,20,2,3,80,67.5,2
690,9,20,2,3,80,115,1
691,9,20,2,3,80,115,1.5
692,9,20,2,3,80,115,2
693,9,20,2,3,110,20,1
694,9,20,2,3,110,20,1.5
695,9,20,2,3,110,20,2
696,9,20,2,3,110,67.5,1
697,9,20,2,3,110,67.5,1.5
698,9,20,2,3,110,67.5,2
699,9,20,2,3,110,115,1
700,9,20,2,3,110,115,1.5
701,9,20,2,3,110,115,2
702,9,20,2,5,50,20,1
703,9,20,2,5,50,20,1.5
704,9,20,2,5,50,20,2
705,9,20,2,5,50,67.5,1
706,9,20,2,5,50,67.5,1.5
707,9,20,2,5,50,67.5,2
708,9,20,2,5,50,115,1
709,9,20,2,5,50,115,1.5
710,9,20,2,5,50,115,2
711,9,20,2,5,80,20,1
712,9,20,2,5,80,20,1.5
713,9,20,2,5,80,20,2
714,9,20,2,5,80,67.5,1
715,9,20,2,5,80,67.5,1.5
716,9,20,2,5,80,67.5,2
717,9,20,2,5,80,115,1
718,9,20,2,5,80,115,1.5
719,9,20,2,5,80,115,2
720,9,20,2,5,110,20,1
721,9,20,2,5,110,20,1.5
722,9,20,2,5,110,20,2
723,9,20,2,5,110,67.5,1
724,9,20,2,5,110,67.5,1.5
725,9,20,2,5,110,67.5,2
726,9,20,2,5,110,115,1
727,9,20,2,5,110,115,1.5
728,9,20,2,5,110,115,2
729,9,30,1,3,50,20,1
730,9,30,1,3,50,20,1.5
731,9,30,1,3,50,20,2
732,9,30,1,3,50,67.5,1
733,9,30,1,3,50,67.5,1.5
734,9,30,1,3,50,67.5,2
735,9,30,1,3,50,115,1
736,9,30,1,3,50,115,1.5
737,9,30,1,3,50,115,2
738,9,30,1,3,80,20,1
739,9,30,1,3,80,20,1.5
740,9,30,1,3,80,20,2
741,9,30,1,3,80,67.5,1
742,9,30,1,3,80,67.5,1.5
743,9,30,1,3,80,67.5,2
744,9,30,1,3,80,115,1
745,9,30,1,3,80,115,1.5
746,9,30,1,3,80,115,2
747,9,30,1,3,110,20,1
748,9,30,1,3,110,20,1.5
749,9,30,1,3,110,20,2
750,9,30,1,3,110,67.5,1
751,9,30,1,3,110,67.5,1.5
752,9,30,1,3,110,67.5,2
753,9,30,1,3,110,115,1
754,9,30,1,3,110,115,1.5
755,9,30,1,3,110,115,2
756,9,30,1,5,50,20,1
757,9,30,1,5,50,20,1.5
758,9,30,1,5,50,20,2
759,9,30,1,5,50,67.5,1
760,9,30,1,5,50,67.5,1.5
761,9,30,1,5,50,67.5,2
762,9,30,1,5,50,115,1
763,9,30,1,5,50,115,1.5
764,9,30,1,5,50,115,2
765,9,30,1,5,80,20,1
766,9,30,1,5,80,20,1.5
767,9,30,1,5,80,20,2
768,9,30,1,5,80,67.5,1
769,9,30,1,5,80,67.5,1.5
770,9,30,1,5,80,67.5,2
771,9,30,1,5,80,115,1
772,9,30,1,5,80,115,1.5
