Time,GM1,GM2,GM3,GM4,GM5,GM6,GM7,GM8,GM9,GM10,GM11,GM12,GM13,GM14,GM15,GM16,GM17,GM18,GM19,GM20,GM21,GM22,GM23,GM24,GM25,GM26,GM27,GM28,GM29,GM30,GM31,GM32,GM33,GM34,GM35,GM36,GM37,GM38,GM39,GM40,GM41,GM42,GM43,GM44
0.44,0.60286,1.0747,0.74603,0.87098,1.0954,0.83485,0.35196,1.1864,0.85474,0.78265,0.80094,0.75788,2.2168,1.5692,0.56787,0.59524,0.51854,0.5653,0.32428,0.26183,0.40629,0.37439,0.74509,1.5389,1.4614,1.0573,0.97715,0.41883,0.65733,0.69095,0.53424,0.52926,1.6542,0.94567,0.55102,1.767,0.18958,0.32277,1.3263,0.83761,0.714,0.73346,0.9011,1.2957
0.45,0.63289,1.1317,0.81311,0.88038,1.0905,0.84602,0.37292,1.2368,0.87474,0.79475,0.7944,0.76292,2.3005,1.5687,0.59472,0.63791,0.52681,0.56371,0.33459,0.25519,0.41018,0.38785,0.74304,1.5904,1.2797,0.99137,1.0367,0.44687,0.60717,0.72497,0.57852,0.55286,1.7255,1.0021,0.58367,1.7096,0.18704,0.3483,1.3246,0.7949,0.63508,0.63833,0.93773,1.312
0.46,0.64601,1.1689,0.85182,0.90549,1.0639,0.85968,0.40425,1.305,0.88721,0.79636,0.76529,0.75461,2.3287,1.5438,0.6098,0.6573,0.52263,0.55749,0.32674,0.25082,0.44637,0.40792,0.76213,1.5628,1.1529,0.91771,1.0708,0.48114,0.56411,0.73915,0.59596,0.56071,1.7327,0.98525,0.60856,1.6382,0.18316,0.37442,1.3176,0.79779,0.56466,0.55519,0.94757,1.3228
0.47,0.64101,1.2058,0.87743,0.88678,1.0206,0.86609,0.42841,1.3962,0.90231,0.82049,0.71614,0.78976,2.3225,1.4804,0.61279,0.65785,0.50383,0.54207,0.30819,0.24756,0.48015,0.42128,0.79761,1.4642,1.02,0.87851,1.0783,0.51975,0.54251,0.73003,0.58412,0.56085,1.6644,0.92514,0.62695,1.5858,0.18868,0.39388,1.321,0.83049,0.60581,0.5865,0.93192,1.3265
0.48,0.63496,1.3106,0.84612,0.91175,0.96292,0.85786,0.44323,1.4567,0.9151,0.81158,0.65242,0.78581,2.2799,1.3822,0.63972,0.65527,0.47392,0.51281,0.2972,0.24426,0.50965,0.43276,0.8381,1.3219,0.90632,0.85798,1.0565,0.55835,0.52617,0.71305,0.56215,0.54887,1.5345,0.85521,0.63696,1.5288,0.18507,0.40608,1.3218,0.86014,0.63328,0.60715,0.92287,1.3497
0.49,0.7025,1.3883,0.8103,0.92981,0.98579,0.84119,0.44734,1.5177,0.91271,0.78959,0.58168,0.77255,2.2056,1.2574,0.69321,0.65497,0.43955,0.47267,0.29279,0.24115,0.53197,0.43382,0.86354,1.2531,0.88856,0.90681,1.0064,0.59203,0.51144,0.71009,0.54751,0.52372,1.3766,0.77993,0.64346,1.4655,0.18477,0.4091,1.2922,0.86915,0.63614,0.60981,0.97464,1.4353
0.5,0.81964,1.4474,0.82944,0.94158,1.0092,0.82295,0.44566,1.5607,0.88793,0.81546,0.53978,0.79357,2.092,1.1158,0.70745,0.65245,0.45443,0.46095,0.29102,0.23904,0.53808,0.43572,0.85998,1.2784,0.87597,0.93092,0.93533,0.61706,0.49281,0.75239,0.54439,0.49717,1.2317,0.71159,0.644,1.4148,0.19095,0.40611,1.2481,0.85581,0.63347,0.62641,1.0509,1.4819
0.51,0.9289,1.4924,0.84845,0.9472,1.0112,0.80336,0.44733,1.5465,0.84188,0.81965,0.52473,0.80129,1.9391,0.97644,0.68811,0.64279,0.48795,0.49605,0.29159,0.23812,0.52209,0.42808,0.82373,1.3107,0.85061,0.9281,0.84932,0.63067,0.47263,0.76065,0.55897,0.4785,1.1223,0.66225,0.63818,1.3485,0.19383,0.39195,1.217,0.83272,0.62861,0.68646,1.0833,1.4515
0.52,0.9942,1.5383,0.86837,0.94654,1.0013,0.78288,0.44093,1.4824,0.7875,0.78514,0.5035,0.80727,1.7639,0.91129,0.66185,0.64073,0.51275,0.51307,0.29558,0.23819,0.49664,0.40295,0.79157,1.4299,0.81648,0.90829,0.75623,0.63145,0.45258,0.72249,0.5899,0.46242,1.0487,0.65298,0.63113,1.2783,0.18747,0.37476,1.1933,0.81637,0.62307,0.71434,1.0582,1.3504
0.53,1.0083,1.5553,0.88885,0.93955,0.98621,0.75565,0.44701,1.3999,0.73642,0.7568,0.47851,0.79204,1.5857,0.86619,0.61679,0.68439,0.53044,0.5146,0.30209,0.23853,0.49773,0.37128,0.86781,1.5151,0.839,0.88354,0.72153,0.61984,0.43493,0.65963,0.62248,0.4405,0.99589,0.6683,0.61538,1.2206,0.19872,0.36604,1.1642,0.81257,0.65533,0.71351,1.0024,1.2994
0.54,0.98231,1.5417,0.90884,0.92643,1.0028,0.75556,0.45144,1.2849,0.69416,0.75624,0.45157,0.75932,1.4176,0.82268,0.59127,0.72057,0.54212,0.50529,0.3063,0.23851,0.49833,0.33976,0.8845,1.5473,0.9017,0.86369,0.69266,0.61144,0.41915,0.62954,0.642,0.41198,0.94602,0.67532,0.60332,1.1558,0.21943,0.35363,1.1263,0.82279,0.66993,0.69176,0.93221,1.2989
0.55,0.93416,1.5013,1.0079,0.90784,1.0282,0.76238,0.44316,1.1795,0.66058,0.79253,0.42773,0.71556,1.2677,0.78552,0.59322,0.75053,0.54872,0.48962,0.30356,0.23773,0.49249,0.3155,0.84091,1.5249,0.95875,0.89569,0.66594,0.597,0.44824,0.61167,0.64475,0.38058,0.88635,0.6546,0.61183,1.0871,0.23945,0.33834,1.0867,0.83635,0.66563,0.65905,0.85851,1.3108
0.56,0.87759,1.4431,1.0975,0.88747,1.034,0.76276,0.42293,1.0654,0.63666,0.85992,0.40381,0.66565,1.1323,0.76188,0.59872,0.77508,0.55113,0.4722,0.29122,0.23657,0.48733,0.29035,0.75605,1.4517,1.0143,0.94902,0.6599,0.57323,0.46975,0.60656,0.63707,0.36042,0.81166,0.6413,0.63772,1.0286,0.25679,0.32702,1.0569,0.84289,0.64515,0.61161,0.7874,1.3421
0.57,0.81951,1.3712,1.1583,0.86498,1.0242,0.75951,0.4379,0.94367,0.62277,0.91101,0.3839,0.62748,1.009,0.74813,0.60588,0.79318,0.55066,0.45576,0.26924,0.235,0.48111,0.26998,0.65681,1.3368,1.0644,1.0034,0.65445,0.54276,0.47427,0.58312,0.62495,0.34232,0.72625,0.62465,0.66215,0.97282,0.2664,0.32143,1.0354,0.84809,0.60885,0.56764,0.7198,1.3713
0.58,0.76194,1.2868,1.1816,0.84218,0.99562,0.75434,0.42166,0.83763,0.62327,0.96057,0.37876,0.59932,0.94677,0.74522,0.61616,0.80333,0.54814,0.44218,0.24085,0.23362,0.47931,0.24961,0.56515,1.1959,1.1026,1.0626,0.6576,0.50839,0.48277,0.54612,0.61524,0.32592,0.64795,0.61278,0.68234,0.91628,0.26432,0.31717,1.014,0.86094,0.58831,0.52202,0.65544,1.3942
